実質季節調整系列,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2015暦年連鎖価格、10億円),,,
"Real, Seasonally Adjusted Series",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2015) Yen),,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,,純受取,受取,支払,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,Residual,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,,,,
1994/ 1- 3.,"446,287.2 ","247,518.2 ","243,635.6 ","208,589.6 ","29,812.0 ","66,259.2 ","4,229.0 ","71,357.8 ","47,097.8 ",-542.3 ,"-7,720.1 ","37,755.9 ","45,476.0 ","-11,724.4 ",,"19,378.5 ","465,665.7 ","4,121.4 ","14,526.8 ","10,405.4 ","469,787.0 ",,"462,325.2 ","346,456.5 ","115,942.3 ",,"139,766.1 ",,"442,233.8 ",,,
4- 6.,"443,804.6 ","248,827.4 ","244,888.4 ","209,639.3 ","31,118.5 ","66,065.0 ","-2,884.5 ","72,244.2 ","48,011.6 ",622.8 ,"-8,364.2 ","37,963.8 ","46,328.0 ","-11,836.2 ",,"18,742.4 ","462,547.0 ","3,800.0 ","14,473.7 ","10,673.7 ","466,347.0 ",,"460,073.3 ","341,671.4 ","118,660.1 ",,"141,499.5 ",,"445,600.8 ",,,
7- 9.,"448,964.6 ","250,644.8 ","246,683.6 ","211,218.5 ","33,628.1 ","65,999.2 ",-280.5 ,"72,789.5 ","46,294.1 ",806.2 ,"-9,067.3 ","38,658.2 ","47,725.6 ","-11,849.4 ",,"18,142.8 ","467,107.4 ","3,871.4 ","14,798.6 ","10,927.2 ","470,978.8 ",,"465,750.2 ","348,148.4 ","117,728.9 ",,"142,080.4 ",,"448,160.8 ",,,
10-12.,"447,083.9 ","250,694.9 ","246,688.8 ","211,048.0 ","32,218.2 ","67,028.9 ","-1,601.9 ","72,950.5 ","45,580.3 ",853.3 ,"-9,378.9 ","38,820.5 ","48,199.3 ","-11,261.4 ",,"18,529.7 ","465,613.6 ","3,902.9 ","15,316.0 ","11,413.1 ","469,516.5 ",,"463,920.2 ","346,794.0 ","117,252.9 ",,"141,344.2 ",,"447,494.5 ",,,
1995/ 1- 3.,"452,100.5 ","252,920.4 ","248,847.5 ","213,003.4 ","31,121.5 ","68,647.7 ","2,253.7 ","74,471.0 ","43,633.4 ",-27.7 ,"-10,500.1 ","39,311.6 ","49,811.7 ","-10,419.4 ",,"18,955.2 ","471,055.7 ","3,954.1 ","15,603.9 ","11,649.7 ","475,009.8 ",,"469,818.8 ","353,597.6 ","116,207.9 ",,"140,426.0 ",,"449,522.9 ",,,
4- 6.,"456,357.3 ","254,974.8 ","250,819.3 ","214,783.8 ","30,381.5 ","71,088.0 ","1,116.7 ","74,611.8 ","45,413.8 ",199.2 ,"-11,408.6 ","39,897.6 ","51,306.2 ","-10,019.9 ",,"19,769.7 ","476,127.0 ","3,172.0 ","14,793.9 ","11,621.9 ","479,299.0 ",,"474,725.0 ","356,530.4 ","118,226.1 ",,"144,019.8 ",,"454,679.4 ",,,
