実質季節調整系列,,,,,,,,, ,,,,,,,,,,,,,
Gross Domestic Expenditure at Constant Prices (seasonally adjusted series),,,,,,,,,,,,,,,,,,,,,,
※旧68SNA・1990年基準計数（1999年4-6月期から2000年1-3月期の計数は速報値、2000年4-6月期以降の計数は簡便的に推計した参考系列である。）,,,,,,,,,,,,(1990暦年基準),,,,,,(単位:10億円),,,,
"    Former SNA68 series ; Benchmark year=1990 (Apr.-Jun.1999 to Jan.-Mar.2000:Preliminary , Apr.-Jun. to Oct.-Dec.2000:Referential)",,,,,,,,,,,,(at market prices in calendar year of 1990),,,,,,(billion yen),,,,
,民間最終消費支出,民間住宅,民間企業設備,民間在庫品増加,政府最終消費支出,公的固定資本形成,公的在庫品増加,財貨・サービス,,,国内総支出,要素所得,,,国民総支出,国内需要,民間需要,公的需要,,,,
,,,,,,,,純輸出,輸出,輸入,,純受取,受取,支払,,,,,,,,
,Private Consumption,Residential Investment,Non-Resi. Investment,Private Inventory,Government Consumption,Public Investment,Public Inventory,Goods & Services,,,GDE(=GDP),Factor Incomes,,,GNE(=GNP),Domestic Demand,Private Demand,Public Demand,,,,
,,,,,,,,Net Exports,Exports,Imports,,Net,Receipt,Payment,,,,,,,,
1955/ 1- 3.,,,, , ,,,,,,,,,,,,,,,,,
4- 6.,29776.8 ,1405.6 ,2067.8 ,-45.1 ,10107.9 ,2325.6 ,304.8 ,-277.3 ,1428.7 ,1706.0 ,45666.1 ,177.4 ,334.8 ,157.4 ,45843.5 ,45943.5 ,33205.2 ,12738.2 ,,,,
7- 9.,30848.3 ,1474.5 ,2164.2 ,46.8 ,10081.0 ,2450.8 ,683.0 ,-184.7 ,1525.5 ,1710.3 ,47563.8 ,176.9 ,332.5 ,155.6 ,47740.6 ,47748.5 ,34533.8 ,13214.8 ,,,,
10-12.,31807.8 ,1606.6 ,2414.1 ,77.5 ,10106.7 ,2431.7 ,345.9 ,-477.0 ,1567.0 ,2044.1 ,48313.3 ,154.2 ,320.3 ,166.2 ,48467.5 ,48790.3 ,35906.0 ,12884.3 ,,,,
1956/ 1- 3.,32880.7 ,1708.7 ,2505.4 ,390.7 ,10328.5 ,2440.6 ,202.6 ,-339.3 ,1645.1 ,1984.4 ,50117.9 ,164.2 ,326.8 ,162.5 ,50282.1 ,50457.1 ,37485.5 ,12971.7 ,,,,
4- 6.,33210.2 ,1678.1 ,2786.3 ,161.2 ,10030.5 ,2619.9 ,248.6 ,-408.7 ,1730.2 ,2138.9 ,50326.1 ,112.9 ,333.8 ,220.8 ,50439.0 ,50734.8 ,37835.8 ,12899.0 ,,,,
7- 9.,33672.8 ,1705.4 ,3014.3 ,352.8 ,10073.4 ,2468.8 ,42.5 ,-674.9 ,1719.0 ,2393.8 ,50655.2 ,127.7 ,323.1 ,195.4 ,50782.9 ,51330.1 ,38745.4 ,12584.6 ,,,,
10-12.,33873.4 ,1705.8 ,3492.5 ,485.7 ,10094.3 ,2401.6 ,20.9 ,-855.3 ,1772.3 ,2627.6 ,51218.9 ,126.8 ,330.7 ,203.8 ,51345.7 ,52074.2 ,39557.3 ,12516.9 ,,,,
1957/ 1- 3.,34928.4 ,1767.9 ,3414.2 ,864.5 ,10259.4 ,2391.0 ,39.4 ,-988.7 ,1852.2 ,2840.9 ,52676.0 ,117.4 ,326.8 ,209.4 ,52793.4 ,53664.7 ,40974.9 ,12689.8 
4- 6.,35737.2 ,1812.6 ,3887.2 ,1171.3 ,9954.4 ,2542.0 ,88.9 ,-1159.0 ,1871.8 ,3030.8 ,54034.5 ,89.1 ,325.0 ,236.0 ,54123.5 ,55193.5 ,42608.2 ,12585.2 
7- 9.,36278.6 ,1770.0 ,4052.4 ,1042.5 ,10043.6 ,2831.8 ,-100.6 ,-722.8 ,2048.4 ,2771.2 ,55195.5 ,74.1 ,303.6 ,229.5 ,55269.6 ,55918.3 ,43143.5 ,12774.8 
10-12.,37359.5 ,1908.3 ,3740.2 ,673.4 ,10118.0 ,3012.1 ,-201.9 ,-635.9 ,1880.4 ,2516.3 ,55973.7 ,44.5 ,289.4 ,244.9 ,56018.3 ,56609.6 ,43681.4 ,12928.2 
1958/ 1- 3.,37341.1 ,1909.3 ,3749.4 ,43.5 ,10265.6 ,2929.6 ,125.1 ,-350.5 ,2086.6 ,2437.2 ,56013.1 ,44.5 ,265.4 ,220.9 ,56057.6 ,56363.6 ,43043.4 ,13320.3 
4- 6.,38247.9 ,2093.0 ,3682.8 ,76.3 ,10521.1 ,3336.4 ,133.4 ,-344.3 ,1965.4 ,2309.7 ,57746.6 ,42.1 ,250.4 ,208.3 ,57788.6 ,58090.8 ,44100.0 ,13990.8 
7- 9.,38703.8 ,2174.3 ,3787.4 ,350.9 ,10694.7 ,3303.0 ,13.7 ,-460.2 ,1955.5 ,2415.7 ,58567.5 ,20.7 ,242.8 ,222.1 ,58588.2 ,59027.7 ,45016.4 ,14011.3 
10-12.,39187.0 ,2080.5 ,3809.7 ,551.9 ,10765.6 ,3313.3 ,106.2 ,-494.0 ,2046.6 ,2540.7 ,59320.1 ,33.2 ,237.5 ,204.3 ,59353.3 ,59814.2 ,45629.0 ,14185.2 
1959/ 1- 3.,40078.3 ,1923.6 ,4099.3 ,308.0 ,10953.2 ,3488.8 ,21.7 ,-522.6 ,2154.1 ,2676.7 ,60350.4 ,4.3 ,228.3 ,224.0 ,60354.7 ,60872.9 ,46409.2 ,14463.7 
4- 6.,41016.1 ,2223.7 ,4480.1 ,669.5 ,11271.7 ,3282.4 ,75.7 ,-678.8 ,2261.0 ,2939.7 ,62340.6 ,-10.1 ,242.7 ,252.8 ,62330.5 ,63019.3 ,48389.5 ,14629.8 
7- 9.,43193.7 ,2397.9 ,4629.1 ,458.9 ,11488.5 ,3633.5 ,430.6 ,-703.0 ,2315.4 ,3018.4 ,65529.1 ,-36.2 ,227.2 ,263.4 ,65492.9 ,66232.1 ,50679.6 ,15552.5 
10-12.,42107.0 ,2523.6 ,5234.5 ,728.5 ,11684.0 ,3756.1 ,-131.0 ,-922.5 ,2353.1 ,3275.6 ,64980.4 ,-0.3 ,280.1 ,280.4 ,64980.0 ,65902.8 ,50593.7 ,15309.2 
1960/ 1- 3.,45044.6 ,2815.8 ,6060.6 ,943.6 ,11813.0 ,3958.0 ,4.3 ,-1065.8 ,2432.2 ,3497.9 ,69574.1 ,-36.4 ,248.2 ,284.6 ,69537.7 ,70639.9 ,54864.6 ,15775.3 
